seats_id,theater_id,movie_id
1,101,
2,102,
3,103,
4,104,
5,105,
6,106,
7,201,
8,202,
9,203,
10,204,
11,101,
12,101,
13,101,
14,101,
15,101,
16,101,
17,101,
18,101,
19,101,
20,101,
21,101,
22,101,
23,101,
24,101,
25,101,
26,102,
27,102,
28,102,
29,102,
30,102,
31,102,
32,102,
33,103,
34,103,
35,103,
36,103,
37,103,
38,103,
39,103,
40,103,
41,103,
42,103,
43,103,
44,103,
45,103,
46,103,
47,103,
48,103,
49,103,
50,103,
51,103,
52,103,
53,103,
54,103,
55,103,
56,103,
57,103,
58,103,
59,103,
60,103,
61,103,
62,103,
63,103,
64,103,
65,103,
66,103,
67,103,
68,103,
69,103,
70,104,
71,104,
72,104,
73,104,
74,104,
75,104,
76,104,
77,104,
78,104,
79,104,
80,104,
81,104,
82,104,
83,104,
84,104,
85,104,
86,104,
87,104,
88,104,
89,104,
90,104,
91,104,
92,104,
93,104,
94,104,
95,104,
96,104,
97,104,
98,104,
99,104,
100,104,
101,104,
102,105,
103,105,
104,105,
105,105,
106,105,
107,105,
108,105,
109,105,
110,105,
111,105,
112,105,
113,105,
114,105,
115,105,
116,105,
117,106,
118,106,
119,106,
120,106,
121,106,
122,106,
123,106,
124,106,
125,106,
126,106,
127,106,
128,106,
129,106,
130,106,
131,106,
132,106,
133,106,
134,106,
135,106,
136,106,
137,106,
138,106,
139,106,
140,106,
141,106,
142,106,
143,106,
144,106,
145,106,
146,106,
147,106,
148,106,
149,106,
150,106,
151,106,
152,106,
153,106,
154,106,
155,106,
156,106,
157,106,
158,106,
159,106,
160,106,
161,106,
162,106,
163,106,
164,106,
165,106,
166,106,
167,106,
168,201,
169,201,
170,201,
171,201,
172,201,
173,201,
174,201,
175,201,
176,201,
177,201,
178,201,
179,201,
180,201,
181,201,
182,201,
183,201,
184,201,
185,201,
186,201,
187,201,
188,201,
189,201,
190,201,
191,201,
192,201,
193,201,
194,202,
195,202,
196,202,
197,202,
198,202,
199,202,
200,202,
201,202,
202,202,
203,202,
204,202,
205,202,
206,202,
207,202,
208,202,
209,202,
210,202,
211,202,
212,202,
213,202,
214,202,
215,202,
216,202,
217,202,
218,202,
219,202,
220,202,
221,202,
222,202,
223,202,
224,202,
225,202,
226,202,
227,202,
228,202,
229,202,
230,202,
231,202,
232,202,
233,202,
234,202,
235,202,
236,202,
237,202,
238,202,
239,202,
240,202,
241,202,
242,202,
243,202,
244,202,
245,202,
246,202,
247,202,
248,202,
249,202,
250,202,
251,202,
252,202,
253,202,
254,202,
255,202,
256,202,
257,202,
258,202,
259,202,
260,202,
261,202,
262,202,
263,202,
264,202,
265,202,
266,202,
267,202,
268,202,
269,202,
270,202,
271,202,
272,203,
273,203,
274,203,
275,203,
276,203,
277,203,
278,203,
279,203,
280,203,
281,203,
282,203,
283,203,
284,203,
285,203,
286,203,
287,203,
288,203,
289,203,
290,203,
291,203,
292,203,
293,203,
294,203,
295,203,
296,203,
297,203,
298,203,
299,203,
300,203,
301,203,
302,203,
303,203,
304,203,
305,203,
306,203,
307,203,
308,203,
309,203,
310,203,
311,203,
312,203,
313,203,
314,203,
315,203,
316,204,
317,204,
318,204,
319,204,
320,204,
321,204,
322,204,
323,204,
324,204,
325,204,
326,204,
327,204,
328,204,
329,204,
330,204,
331,204,
332,204,
333,204,
334,204,
335,204,
336,204,
337,204,
338,204,
339,204,
340,204,
341,204,
342,204,
343,204,
344,204,
345,204,
346,204,
347,204,
348,204,
349,204,
350,204,
351,204,
352,204,
353,204,
354,204,
355,204,
356,204,
357,204,
358,204,
359,204,
360,204,
361,204,
362,204,
363,204,
364,204,
365,204,
366,204,